,sentence,time
0,ここは ドア前だよ,1522665603.153319
1,ドア前でドアを開ける,1522665616.545422
2,ドア前でドアを開く,1522665623.811287
3,ドア前でドアを押し開く,1522665630.644011
4,ドア前でドアを開いた,1522665645.313915
5,ここは 寝室だよ,1522665662.837386
6,寝室で ぬいぐるみをつかむ,1522665670.287836
7,寝室で ぬいぐるみを把持する,1522665677.688155
8,寝室で ぬいぐるみに手を伸ばす,1522665685.471939
9,寝室で ぬいぐるみを掴んだ,1522665692.843784
10,寝室で ぬいぐるみをはじした,1522665702.169755
11,ここは キッチンだよ,1522665734.986289
12,キッチンの机に置く,1522665744.142006
13,キッチンの棚に置く,1522665752.273063
14,キッチンの棚に設置,1522665759.183371
15,キッチンの棚に置いた,1522665769.124667
16,キッチンの棚に設置,1522665779.018469
